
 STRATEGY REPORT:
Total positive trades: 67 (12934.250000 points); Total negative trades: 56 (-8443.830000 points);
 Net loss/profit: 4490.420000

 Trade no: 78; Direction: short; Entry date: 03/01/2022 14:00:00 CET; Entry closing price: 16045.290000; Exit date: 05/01/2022 15:00:00 CET; Exit closing price: 16232.990000; Loss/profit: -187.700000; Current p&l: 1605.740000
 Trade no: 79; Direction: long; Entry date: 10/01/2022 17:00:00 CET; Entry closing price: 15768.270000; Exit date: 12/01/2022 16:00:00 CET; Exit closing price: 16008.910000; Loss/profit: 240.640000; Current p&l: 1846.380000
 Trade no: 80; Direction: short; Entry date: 13/01/2022 15:00:00 CET; Entry closing price: 16037.270000; Exit date: 14/01/2022 10:00:00 CET; Exit closing price: 15939.490000; Loss/profit: 97.780000; Current p&l: 1944.160000
 Trade no: 81; Direction: short; Entry date: 10/02/2022 14:00:00 CET; Entry closing price: 15471.200000; Exit date: 11/02/2022 11:00:00 CET; Exit closing price: 15423.870000; Loss/profit: 47.330000; Current p&l: 1991.490000
 Trade no: 82; Direction: long; Entry date: 24/02/2022 12:00:00 CET; Entry closing price: 13963.030000; Exit date: 25/02/2022 13:00:00 CET; Exit closing price: 14412.390000; Loss/profit: 449.360000; Current p&l: 2440.850000
 Trade no: 83; Direction: short; Entry date: 22/03/2022 11:00:00 CET; Entry closing price: 14448.920000; Exit date: 23/03/2022 15:00:00 CET; Exit closing price: 14280.340000; Loss/profit: 168.580000; Current p&l: 2609.430000
 Trade no: 84; Direction: long; Entry date: 06/04/2022 16:00:00 CEST; Entry closing price: 14096.900000; Exit date: 08/04/2022 17:00:00 CEST; Exit closing price: 14283.670000; Loss/profit: 186.770000; Current p&l: 2796.200000
 Trade no: 85; Direction: long; Entry date: 12/04/2022 10:00:00 CEST; Entry closing price: 14032.570000; Exit date: 14/04/2022 11:00:00 CEST; Exit closing price: 14075.550000; Loss/profit: 42.980000; Current p&l: 2839.180000
 Trade no: 86; Direction: short; Entry date: 17/05/2022 12:00:00 CEST; Entry closing price: 14186.780000; Exit date: 19/05/2022 09:00:00 CEST; Exit closing price: 13770.010000; Loss/profit: 416.770000; Current p&l: 3255.950000
 Trade no: 87; Direction: short; Entry date: 28/06/2022 16:00:00 CEST; Entry closing price: 13283.180000; Exit date: 29/06/2022 13:00:00 CEST; Exit closing price: 13034.300000; Loss/profit: 248.880000; Current p&l: 3504.830000
 Trade no: 88; Direction: long; Entry date: 05/07/2022 11:00:00 CEST; Entry closing price: 12644.680000; Exit date: 07/07/2022 12:00:00 CEST; Exit closing price: 12801.350000; Loss/profit: 156.670000; Current p&l: 3661.500000
 Trade no: 89; Direction: long; Entry date: 14/07/2022 17:00:00 CEST; Entry closing price: 12519.660000; Exit date: 18/07/2022 09:00:00 CEST; Exit closing price: 13008.020000; Loss/profit: 488.360000; Current p&l: 4149.860000
 Trade no: 90; Direction: short; Entry date: 22/07/2022 09:00:00 CEST; Entry closing price: 13225.740000; Exit date: 25/07/2022 17:00:00 CEST; Exit closing price: 13210.320000; Loss/profit: 15.420000; Current p&l: 4165.280000
 Trade no: 91; Direction: short; Entry date: 16/08/2022 11:00:00 CEST; Entry closing price: 13905.010000; Exit date: 17/08/2022 15:00:00 CEST; Exit closing price: 13696.230000; Loss/profit: 208.780000; Current p&l: 4374.060000
 Trade no: 92; Direction: long; Entry date: 19/08/2022 11:00:00 CEST; Entry closing price: 13610.620000; Exit date: 22/08/2022 16:00:00 CEST; Exit closing price: 13195.170000; Loss/profit: -415.450000; Current p&l: 3958.610000
 Trade no: 93; Direction: long; Entry date: 23/08/2022 15:00:00 CEST; Entry closing price: 13236.850000; Exit date: 25/08/2022 10:00:00 CEST; Exit closing price: 13307.030000; Loss/profit: 70.180000; Current p&l: 4028.790000
 Trade no: 94; Direction: short; Entry date: 08/09/2022 11:00:00 CEST; Entry closing price: 12904.770000; Exit date: 08/09/2022 15:00:00 CEST; Exit closing price: 12791.370000; Loss/profit: 113.400000; Current p&l: 4142.190000
