
 STRATEGY REPORT:
Total positive trades: 37 (6508.380000 points); Total negative trades: 31 (-7440.040000 points);
 Net loss/profit: -931.660000

 Trade no: 48; Direction: long; Entry date: 24/06/2022 09:00:00 CEST; Entry closing price: 12954.210000; Exit date: 27/06/2022 09:00:00 CEST; Exit closing price: 13355.770000; Loss/profit: 401.560000; Current p&l: -1527.210000
 Trade no: 49; Direction: long; Entry date: 13/07/2022 16:00:00 CEST; Entry closing price: 12741.820000; Exit date: 15/07/2022 17:00:00 CEST; Exit closing price: 12864.720000; Loss/profit: 122.900000; Current p&l: -1404.310000
 Trade no: 50; Direction: short; Entry date: 15/08/2022 12:00:00 CEST; Entry closing price: 13804.260000; Exit date: 17/08/2022 13:00:00 CEST; Exit closing price: 13749.530000; Loss/profit: 54.730000; Current p&l: -1304.920000
 Trade no: 51; Direction: short; Entry date: 15/08/2022 16:00:00 CEST; Entry closing price: 13794.190000; Exit date: 17/08/2022 17:00:00 CEST; Exit closing price: 13626.710000; Loss/profit: 167.480000; Current p&l: -1182.100000
 Trade no: 52; Direction: long; Entry date: 21/09/2022 10:00:00 CEST; Entry closing price: 12645.220000; Exit date: 23/09/2022 11:00:00 CEST; Exit closing price: 12380.490000; Loss/profit: -264.730000; Current p&l: -1446.830000
 Trade no: 53; Direction: short; Entry date: 15/11/2022 15:00:00 CET; Entry closing price: 14365.870000; Exit date: 17/11/2022 16:00:00 CET; Exit closing price: 14232.980000; Loss/profit: 132.890000; Current p&l: -1313.940000
 Trade no: 54; Direction: long; Entry date: 20/12/2022 16:00:00 CET; Entry closing price: 13902.130000; Exit date: 22/12/2022 17:00:00 CET; Exit closing price: 13914.070000; Loss/profit: 11.940000; Current p&l: -1302.000000
 Trade no: 55; Direction: short; Entry date: 13/01/2023 11:00:00 CET; Entry closing price: 15104.410000; Exit date: 17/01/2023 12:00:00 CET; Exit closing price: 15121.930000; Loss/profit: -17.520000; Current p&l: -1311.880000
 Trade no: 56; Direction: short; Entry date: 16/01/2023 13:00:00 CET; Entry closing price: 15120.080000; Exit date: 18/01/2023 14:00:00 CET; Exit closing price: 15223.460000; Loss/profit: -103.380000; Current p&l: -1514.940000
 Trade no: 57; Direction: short; Entry date: 16/01/2023 15:00:00 CET; Entry closing price: 15131.420000; Exit date: 18/01/2023 16:00:00 CET; Exit closing price: 15207.600000; Loss/profit: -76.180000; Current p&l: -1499.080000
 Trade no: 58; Direction: short; Entry date: 03/02/2023 09:00:00 CET; Entry closing price: 15388.340000; Exit date: 07/02/2023 10:00:00 CET; Exit closing price: 15349.120000; Loss/profit: 39.220000; Current p&l: -1459.860000
 Trade no: 59; Direction: long; Entry date: 22/02/2023 12:00:00 CET; Entry closing price: 15295.140000; Exit date: 24/02/2023 13:00:00 CET; Exit closing price: 15378.920000; Loss/profit: 83.780000; Current p&l: -1376.080000
 Trade no: 60; Direction: long; Entry date: 14/03/2023 09:00:00 CET; Entry closing price: 15063.460000; Exit date: 16/03/2023 10:00:00 CET; Exit closing price: 14820.900000; Loss/profit: -242.560000; Current p&l: -1629.200000
 Trade no: 61; Direction: long; Entry date: 15/03/2023 12:00:00 CET; Entry closing price: 14824.500000; Exit date: 17/03/2023 13:00:00 CET; Exit closing price: 14797.000000; Loss/profit: -27.500000; Current p&l: -1700.900000
 Trade no: 62; Direction: long; Entry date: 15/03/2023 14:00:00 CET; Entry closing price: 14794.180000; Exit date: 17/03/2023 15:00:00 CET; Exit closing price: 14722.350000; Loss/profit: -71.830000; Current p&l: -1850.200000
 Trade no: 63; Direction: long; Entry date: 16/03/2023 09:00:00 CET; Entry closing price: 14854.580000; Exit date: 20/03/2023 10:00:00 CET; Exit closing price: 14774.740000; Loss/profit: -79.840000; Current p&l: -1788.840000
 Trade no: 64; Direction: long; Entry date: 17/03/2023 16:00:00 CET; Entry closing price: 14765.770000; Exit date: 21/03/2023 14:00:00 CET; Exit closing price: 15236.540000; Loss/profit: 470.770000; Current p&l: -1327.040000
 Trade no: 65; Direction: short; Entry date: 10/05/2023 15:00:00 CEST; Entry closing price: 15891.240000; Exit date: 11/05/2023 16:00:00 CEST; Exit closing price: 15810.690000; Loss/profit: 80.550000; Current p&l: -1246.490000
 Trade no: 66; Direction: short; Entry date: 19/05/2023 14:00:00 CEST; Entry closing price: 16277.270000; Exit date: 23/05/2023 15:00:00 CEST; Exit closing price: 16165.570000; Loss/profit: 111.700000; Current p&l: -1134.790000
 Trade no: 67; Direction: long; Entry date: 08/08/2023 13:00:00 CEST; Entry closing price: 15747.850000; Exit date: 10/08/2023 14:00:00 CEST; Exit closing price: 15950.980000; Loss/profit: 203.130000; Current p&l: -931.660000
